# ,pipe out 1,Ext. pipe,pipe in 0,pipe in 1,pipe out 0,pkg L,pkg C,pkg R border
Avg,15.156,16.522,15.185,15.148,15.203,16.060,16.436,17.108
Cooldiff,0.004,1.370,0.033,-0.004,0.051,0.908,1.284,1.956
Disp,0.025,0.049,0.013,0.022,0.025,0.013,0.013,0.013
Max,15.333,16.729,15.232,15.282,15.232,16.102,16.519,17.153
Min,14.979,16.414,15.080,15.080,15.105,15.973,16.388,17.074
Slope,-0.000,0.028,-0.006,-0.006,-0.001,0.000,0.004,0.006
Std,0.056,0.061,0.029,0.034,0.024,0.023,0.021,0.019


# ,pipe out 1,Ext. pipe,pipe in 0,pipe in 1,pipe out 0,pkg L,pkg C,pkg R border
Avg,15.276,16.299,15.342,15.247,15.346,16.076,16.446,17.137
Cooldiff,0.015,1.037,0.081,-0.015,0.084,0.815,1.184,1.876
Disp,0.013,0.052,0.038,0.017,0.013,0.009,0.013,0.013
Max,15.308,16.467,15.486,15.384,15.384,16.128,16.545,17.180
Min,15.232,16.154,15.308,15.206,15.308,16.024,16.362,17.100
Slope,-0.017,0.108,-0.017,-0.037,-0.019,0.000,-0.011,0.015
Std,0.014,0.061,0.036,0.038,0.020,0.019,0.027,0.018


